Key	Type	Desc	English	Polish	German
Items/NatureDestructibleDesc	Text		A yellow plant containing organic loot.	Żółta roślina zawierająca organiczne łupy.	Eine gelbe Pflanze, die organische Schätze enthält.
Items/NatureGemstone	Text		Jungle Emerald	Dżunglowy szmaragd	Dschungel-Smaragd
Items/NatureGemstoneDesc	Text		A verdant gemstone rarely found in crystalized lush regions. Its special properties allow it to be used for higher quality crafting. 	Zielony kamień szlachetny rzadko spotykany w skrystalizowanych, bujnych regionach. Jego specjalne właściwości pozwalają na wykorzystanie go w rzemiośle wyższej jakości.	Ein grüner Edelstein, der manchmal in üppig bewachsenen Gebieten gefunden werden kann. Seine besonderen Eigenheiten lassen ihn bei der Herstellung hochwertiger Produkte zum Einsatz kommen.
Items/NatureWoodenDestructible	Text		Overgrown Wooden Crate	Zarośnięta drewniana skrzynia	Bewachsene Holzkiste
Items/NatureWoodenDestructibleDesc	Text		A box that has been partially reclaimed by nature. It's containing useful goods.	Pudełko, które zostało częściowo przejęte przez naturę. Zawiera przydatne towary.	Ein Behälter, der teilweise von der Natur zurückerobert wurde. Er enthält nützliche Gegenstände.
Items/NilipedeTrophy	Text	"Change the translations in a way that it relates to the Nilipede having no legs if you haven't already. Nil is latin for ""zero""."	Nilipede Figurine	Figurka nullsienicy	Nullfüßler-Figur
Items/NilipedeTrophyDesc	Text	"Change the translations in a way that it relates to the Nilipede having no legs if you haven't already. Nil is latin for ""zero""."	A lifelike representation of a Nilipede.	Realistyczna reprezentacja Nullsienicy.	Eine lebensechte Nachbildung eines Nullfüßlers.
Items/NinjaBreastArmor	Text		Ninja Garments	Odzież Ninja	Ninja-Gewand
Items/NinjaBreastArmorDesc	Text	Should be written with 7 syllables, like the second sentence in a haiku.	Moving swiftly as the wind.	Być szybkim jak wiatr.	Der Schritt vom Wind beflügelt.
Items/NinjaHelm	Text		Ninja Cowl	Kaptur Ninja	Ninja-Kapuze
Items/NinjaHelmDesc	Text	Should be written with 5 syllables, like the first sentence in a haiku.	Hidden by the dark.	Ukryte w mroku 	In Schatten gehüllt.
Items/NinjaPantsArmor	Text		Ninja Leggings	Legginsy Ninja	Ninja-Gamaschen
Items/NinjaPantsArmorDesc	Text	Should be written with 5 syllables, like the last sentence in a haiku.	Gone without a sound.	Zniknął bez śladu.	Ohne Spur entschwunden.
Items/NobleRing	Text		Noble Ring	Szlachetny Pierścień	Nobler Ring
Items/NobleRingDesc	Text		An expensive looking ring featuring a ruby. It must have belonged to someone wealthy.	Drogo wyglądający pierścień z rubinem. Musiał należeć do kogoś bogatego.	Ein teuer anmutender Ring, verziert mit einem Rubin. Er hat sicher einer sehr wohlhabenden Person gehört.
Items/NomadNecklace	Text		Nomad Necklace	Naszyjnik Nomadów	Nomadenhalsschmuck
Items/NomadNecklaceDesc	Text		Made from ragged cloth and metal badges this witness of the desert gives you a keen advantage on attacks.	Wykonany z poszarpanego materiału i metalowych naszywek, ten symbol pustyni daje ci przewagę podczas ataków.	Hergestellt aus Stofffetzen und Metallplaketten, verleiht dieser Zeuge der Wüste seinem Träger einen Angriffsvorteil.
Items/NomadRing	Text		Nomad Ring	Pierścień Nomadów	Nomadenring
Items/NomadRingDesc	Text		This small finger band is made from ragged cloth to keep it from heating up in the scorching desert valleys.	Ta mała opaska na palec jest wykonana z postrzępionego materiału, aby nie nagrzewała się w palących pustynnych dolinach.	Dieser kleine Finger-Reif wurde aus Stofffetzen gemacht, damit er sich nicht in den sengenden Wüstentälern aufheizt.
Items/ObeliskSmall	Text		Small Obelisk	Mały obelisk	Kleiner Obelisk
Items/ObeliskSmallDesc	Text		A descriptive stele, carved into stone. The runes on it are indecipherable.	Opisowa tablica wyryta w kamieniu. Runy na niej są nie do rozszyfrowania.	Eine beschriebene Stele, die in Stein gehauen ist. Die Runen darauf sind unleserlich.
Items/ObeliskTall	Text		Tall Obelisk	Wysoki obelisk	Großer Obelisk
Items/ObeliskTallDesc	Text		A large descriptive stele, carved into stone. The runes on it are indecipherable.	Duża opisowa tablica wyryta w kamieniu. Runy na niej są nie do rozszyfrowania.	Eine große, beschriebene Stele, die in Stein gehauen ist. Die Runen darauf sind unleserlich.
Items/Ocarina	Text		Ocarina	Okaryna	Okarina
Items/OcarinaDesc	Text		A timeless instrument.	Ponadczasowy instrument.	Ein zeitloses Instrument.
Items/OceanHeartNecklace	Text		Oceanheart Necklace	Naszyjnik z sercem oceanu	Ozeanherz-Anhänger
Items/OceanHeartNecklaceDesc	Text		A big blue diamond is the centerpiece of this extraordinary treasure. You feel loved when holding it up to your chest.	Duży niebieski diament jest centralnym elementem tego niezwykłego skarbu. Czujesz się kochany, gdy trzymasz go przy piersi.	Ein großer, blauer Diamant ist das Herzstück dieses außergewöhnlichen Schatzes. Du fühlst dich geliebt, wenn du ihn an deine Brust hältst.
Items/OctarineAnvil	Text		Octarine Anvil	Oktarynowe kowadło	Oktarin-Amboss
Items/OctarineAnvilDesc	Text		A strange anvil for creating extraordinary equipment.	Nietypowe kowadło do tworzenia niezwykłego sprzętu.	Ein seltsamer Amboss, um außergewöhnliche Ausrüstung herzustellen.
Items/OctarineAxe	Text		Octarine Axe	Oktarynowa siekiera	Oktarin-Axt
Items/OctarineAxeDesc	Text		This crescent-shaped weapon hits hard and magically arcs towards enemies' weak spots.	Ta broń w kształcie półksiężyca uderza mocno i magicznie zatacza łuk w kierunku słabych punktów wrogów.	Diese halbmondförmige Waffe trifft hart und schwingt auf magische Weise in die Richtung des Schwachpunkts der Feinde.
Items/OctarineBackpack	Text		Octarine Bag	Oktarynowa torba	Oktarin-Tasche
Items/OctarineBackpackDesc	Text		A strange bag that has more space inside than it looks like from the outside.	Dziwna torba, która ma więcej miejsca w środku niż wydaje się z zewnątrz.	Eine merkwürdige Tasche, die mehr Platz im Inneren bietet, als es von außen den Anschein hat.
Items/OctarineBar	Text		Octarine Bar	Sztabka oktarynu	Oktarin-Barren
Items/OctarineBarDesc	Text		A mysterious ingot for extraordinary blacksmithing.	Tajemnicza sztabka do nadzwyczajnego zastosowania.	Ein mysteriöser Metallbarren zum Schmieden außergewöhnlicher Ausrüstung.
Items/OctarineBow	Text		Octarine Bow	Oktarynowy łuk	Oktarin-Bogen
Items/OctarineBowDesc	Text		A strange bow that enhances the way arrows fly, allowing for quicker shots.	Dziwny łuk, który poprawia lot strzał, pozwalając na szybsze strzały.	Ein ungewöhnlicher Bogen. Er optimiert das Flugverhalten abgeschossener Pfeile und ermöglicht damit schnellere Schüsse.
Items/OctarineBreastArmor	Text		Octarine Breastplate	Oktarynowy napierśnik	Oktarin-Harnisch
Items/OctarineBreastArmorDesc	Text		This mysterious breastplate stimulates the muscles to swing your weapon much faster.	Ten tajemniczy napierśnik stymuluje mięśnie do szybszego wymachiwania bronią.	Dieser mysteriöse Brustpanzer stimuliert die Muskeln, um ein schnelleres Schwingen deiner Waffe zu ermöglichen.
Items/OctarineChest	Text		Octarine Chest	Oktarynowa skrzynia	Oktarin-Kiste
Items/OctarineChestDesc	Text		A clunky chest made from octarine. It is not locked anymore.	Solidna skrzynia wykonana z oktarynu. Nie jest już zamknięta.	Eine klotzige Kiste aus Oktarin. Sie ist nicht mehr verschlossen.
Items/OctarineFishingRod	Text		Octarine Fishing Rod	Oktarynowa wędka	Oktarin-Angel
Items/OctarineFishingRodDesc	Text		An extraordinary tool for pulling up deep sea fish.	Niezwykłe narzędzie do wyławiania ryb głębinowych.	Ein außergewöhnliches Werkzeug, um Fische der Tiefsee an Land zu ziehen.
Items/OctarineHelm	Text		Octarine Helm	Oktarynowy hełm	Oktarin-Helm
Items/OctarineHelmDesc	Text		A strange headgear with no visor. For some reason you can still see clearly when putting it on.	Dziwne nakrycie głowy bez wizjera. Z jakiegoś powodu nadal wyraźnie widzisz otoczenie po założeniu.	Eine merkwürdige Kopfbedeckung ohne sichtbares Visier. Aus irgendeinem Grund kannst du trotzdem klar sehen, wenn du ihn aufsetzt.
Items/OctarineKey	Text		Octarine Key	Oktarynowy klucz	Oktarin-Schlüssel
Items/OctarineKeyDesc	Text		A clunky key cast in octarine. There should be a lock somewhere that it fits into.	Nieporęczny klucz odlany z oktarynu. Gdzieś powinien być zamek, do którego pasuje.	Ein klotziger, in Oktarin gegossener Schlüssel. Es muss irgendwo ein Schloss geben, in das er passt.
Items/OctarineMiningPick	Text		Octarine Pickaxe	Oktarynowy kilof	Oktarin-Spitzhacke
Items/OctarineMiningPickDesc	Text		An extraordinary tool for breaking down compact walls.	Niezwykłe narzędzie do przełamywania zwartych ścian.	Ein außergewöhnliches Werkzeug, um kompakte Wände zu zerstören.
Items/OctarineNecklace	Text		Octarine Necklace	Oktarynowy naszyjnik	Oktarin-Halskette
Items/OctarineNecklaceDesc	Text		A necklace made from pure octarine filled with magic energy.	Naszyjnik wykonany z czystego oktarynu wypełnionego magiczną energią.	Eine Halskette aus purem Oktarin, gefüllt mit magischer Energie.
Items/OctarineOre	Text		Octarine Ore	Ruda oktarynu	Oktarinerz
Items/OctarineOreBoulder	Text		Octarine Ore Boulder	Głaz rudy oktarynu	Oktarin-Erzblock
Items/OctarineOreDesc	Text		Mysterious ore commonly found in limestone walls.	Tajemnicza ruda powszechnie występująca w wapiennych ścianach.	Mysteriöses Erz, das häufig in Kalkstein-Wänden gefunden wird.
Items/OctarinePantsArmor	Text		Octarine Pants	Oktarynowe spodnie	Oktarin-Beinschienen
Items/OctarinePantsArmorDesc	Text		This peculiar leg protection phases energy through your whole body.	Ta swoista ochrona nóg rozprowadza energię po całym ciele.	Dieser seltsame Beinschutz sendet Energie durch deinen gesamten Körper.
Items/OctarineRing	Text		Octarine Ring	Oktarynowy pierścień	Oktarin-Ring
Items/OctarineRingDesc	Text		A ring made from pure octarine enhanced with magic properties.	Pierścień wykonany z czystego oktarynu wzmocnionego magicznymi właściwościami.	Ein Ring aus purem Oktarin, der magische Eigenschaften hat.
Items/OctarineShield	Text		Octarine Shield	Oktarynowa Tarcza	Oktarin-Schild
Items/OctarineShieldDesc	Text		An extremely durable shield infused with energy that increases health while holding it.	Niezwykle wytrzymała tarcza nasycona energią, która zwiększa zdrowie podczas jej trzymania.	Ein extrem widerstandsfähiger Schild. Er ist mit Energie verstärkt, der die Gesundheit steigert, wenn man ihn hält.
Items/OctarineShovel	Text		Octarine Shovel	Oktarynowa łopata	Oktarin-Schaufel
Items/OctarineShovelDesc	Text		An incredibly versatile shovel, unmatched at digging up ground.	Niezwykle wszechstronna łopata, niezrównana w kopaniu ziemi.	Eine unglaublich vielfältige Schaufel; unübertroffen wenn es darum geht, Böden zu entfernen.
Items/OctarineSledge	Text		Octarine Sledge Hammer	Oktarynowy młot	Oktarin-Hammer
Items/OctarineSledgeDesc	Text		An extraordinary weapon for smashing foes and walls.	Niezwykła broń do rozbijania wrogów i ścian.	Eine außergewöhnliche Waffe, um Widersacher zu erschlagen und Wände zu zertrümmern.
Items/OctarineSword	Text		Octarine Sword	Oktarynowy miecz	Oktarin-Schwert
Items/OctarineSwordDesc	Text		An extraordinary weapon for slaying foes.	Niezwykła broń do zabijania wrogów.	Eine außergewöhnliche Waffe, um Widersacher niederzustrecken.
Items/OctarineWorkbench	Text		Octarine Workbench	Oktarynowy stół warsztatowy	Oktarin-Werkbank
Items/OctarineWorkbenchDesc	Text		Mystical workbench for creating extraordinary gear.	Mistyczny stół warsztatowy do tworzenia niezwykłego sprzętu.	Eine mystische Werkbank für die Fertigung überragender Ausrüstung.
Items/OctopusBossChest	Text		Floating Titan's Chest	Skrzynia pływającego tytana	Schwimmende Titanen-Kiste
Items/OctopusBossChestDesc	Text		A large, ancient chest crested with gemstones. Through air-filled growths at its bottom it can float on water.	Duża, starożytna skrzynia ozdobiona kamieniami szlachetnymi. Dzięki wypełnionym powietrzem naroślom na dnie może unosić się na wodzie.	Eine große, antike Kiste bestückt mit Edelsteinen. Durch luftgefüllte Wüchse an der Unterseite kann sie auch auf dem Wasser platziert werden.
Items/OctopusBossScanner	Text		Omoroth the Sea Titan Scanner	Skaner Omorotha Morskiego Tytana	Omoroth-Scanner
Items/OctopusBossScannerDesc	Text		Scans the world for Omoroth the Sea Titan. Consumed on successful scan.	Skanuje świat w poszukiwaniu morskiego tytana Omorotha. Zużywa się po udanym skanowaniu.	Scannt die Welt nach Omoroth, dem Meerestitanen. Wird bei erfolgreichem Scan verbraucht.
Items/OctopusBreastArmor	Text		Omoroth's Chestplate	Napierśnik Omorotha	Omoroths Brustplatte
Items/OctopusBreastArmorDesc	Text		A upper body armor reminiscent of the Sea Titan. There is a sleek cape attached to it.	Górna część pancerza przypominająca morskiego tytana. Dołączona jest do niej smukła peleryna.	Eine Oberkörper-Rüstung, die an den Meerestitanten erinnert. Ein eleganter Umhang ist daran befestigt.
Items/OctopusHelm	Text		Omoroth's Helm	Hełm Omorotha	Omoroths Helm
Items/OctopusHelmDesc	Text		An iron-cast helm with a scary grimace and potruding tentacles.	Odlany z żelaza hełm z przerażającym grymasem i wystającymi mackami.	Ein gusseiserner Helm mit einer furchteinflößenden Grimasse und abstehenden Tentakeln.
Items/OctopusPantsArmor	Text		Omoroth's Leg Armor	Buty Omorotha	Omoroths Beinrüstung
Items/OctopusPantsArmorDesc	Text		Delicately decorated leg protection that's constantly wet. Looks cool but is very uncomfortable to wear.	Delikatnie zdobiona ochrona nóg, która jest stale mokra. Wygląda fajnie, ale jest bardzo niewygodna w noszeniu.	Ein reich verzierter Beinschutz, der permanent feucht ist. Sieht cool aus, ist aber sehr unkomfortabel zu tragen.
Items/OffspringCapsule	Text		Offspring Capsule	Kapsuła z potomstwem	Nachwuchs-Kapsel
Items/OffspringCapsuleDesc	Text		A glass container containing an embryo suspended in nutritious liquid. It's blue with pointy ears but doesn't seem to be a caveling. 	Szklany pojemnik zawierający zarodek zawieszony w odżywczym płynie. Jest niebieski i ma spiczaste uszy, ale nie wygląda na jaskiniowca.	Ein Glasbehälter, der einen Embryo in einer Nährlösung enthält. Er ist blau mit spitzen Ohren, scheint aber kein Grottling zu sein.
Items/OldAmulet	Text		Old Amulet	Stary Amulet	Altes Amulett
Items/OldAmuletDesc	Text		Brittle stone jewelry. Too small to be worn by a human.	Łamliwa kamienna biżuteria. Zbyt mała, by mógł ją nosić człowiek.	Ein brüchiges Schmuckstück aus Stein. Zu klein, um von einem Menschen getragen zu werden.
Items/OldJournal	Text		Old Journal	Stary dziennik	Alter Reisebericht
Items/OldJournalDesc	Text		A leather-bound book with crumbly pages. It is written in familiar letters but a language you don't know.	Oprawiona w skórę książka z rozpadającymi się stronami. Jest napisana znajomymi literami, ale w języku, którego nie znasz.	Ein ledergebundenes Buch mit bröseligen Seiten. Es ist in bekannten Buchstaben geschrieben, aber in einer Sprache, die du nicht verstehst.
Items/OldSporeMask	Text		Old Spore Mask	Stara zarodnikowa maska	Alte Sporenmaske
Items/OldSporeMaskDesc	Text		An old mask protecting against air-borne spores. It's broken but may still fetch a good price.	Stara maska chroniąca przed zarodnikami przenoszonymi przez powietrze. Jest uszkodzona, ale wciąż może osiągnąć dobrą cenę.	Eine alte Maske, die gegen Sporen in der Luft schützen sollte. Sie ist undicht, sollte aber trotzdem noch gut zu verkaufen sein.
Items/OmorothBeak	Text		Omoroth's Beak	Dziób Omorotha	Omoroths Schnabel
Items/OmorothBeakDesc	Text		The sharp mouth piece of Omoroth, the Sea Titan. It seems to be able to crush every material.	Ostra paszcza Omorotha Morskiego Tytana. Wydaje się, że jest w stanie zmiażdżyć każdy materiał.	Das messerscharfe Mundstück von Omoroth, dem Meerestitanen. Es scheint jedes Material zerbrechen zu können.
